codigo_snies,nombre_programa,tipo_cubrimiento,departamento,municipio,nombre_institucion,codigo_institucion
7732,ESPECIALIZACION EN GERENCIA Y AUDITORIA DE LA CALIDAD DE LA SALUD,Principal,Nariño,Pasto,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
8118,ESPECIALIZACION EN GERENCIA DE MERCADEO,Convenio,Cesar,Valledupar,UNIVERSIDAD POPULAR DEL CESAR,1120
8118,ESPECIALIZACION EN GERENCIA DE MERCADEO,Convenio,Cesar,Valledupar,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
8118,ESPECIALIZACION EN GERENCIA DE MERCADEO,Principal,Cesar,Valledupar,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
8265,ESPECIALIZACION EN ADMINISTRACION HOSPITALARIA,Convenio,Cauca,Popayán,UNIVERSIDAD EAN,2812
8265,ESPECIALIZACION EN ADMINISTRACION HOSPITALARIA,Convenio,Cauca,Popayán,UNIVERSIDAD DEL CAUCA,1110
8265,ESPECIALIZACION EN ADMINISTRACION HOSPITALARIA,Principal,Cauca,Popayán,UNIVERSIDAD EAN,2812
8793,ESPECIALIZACION EN DERECHO DE FAMILIA,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
8793,ESPECIALIZACION EN DERECHO DE FAMILIA,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
8793,ESPECIALIZACION EN DERECHO DE FAMILIA,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
9061,ESPECIALIZACIÓN EN GERENCIA DE MERCADEO,Convenio,Nariño,Pasto,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
9061,ESPECIALIZACIÓN EN GERENCIA DE MERCADEO,Convenio,Nariño,Pasto,UNIVERSIDAD DE NARIÑO,1206
9061,ESPECIALIZACIÓN EN GERENCIA DE MERCADEO,Principal,Nariño,Pasto,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,1707
9912,ESPECIALIZACION EN GERENCIA DE LA CALIDAD,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD DEL NORTE,1713
9912,ESPECIALIZACION EN GERENCIA DE LA CALIDAD,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD DE SAN BUENAVENTURA,1724
9912,ESPECIALIZACION EN GERENCIA DE LA CALIDAD,Principal,Bolívar,Cartagena de Indias,UNIVERSIDAD DEL NORTE,1713
11290,ESPECIALIZACION EN GERENCIA DE MERCADEO,Convenio,Sucre,Sincelejo,UNIVERSIDAD DE SUCRE,1217
11290,ESPECIALIZACION EN GERENCIA DE MERCADEO,Convenio,Sucre,Sincelejo,UNIVERSIDAD EAN,2812
11290,ESPECIALIZACION EN GERENCIA DE MERCADEO,Principal,Sucre,Sincelejo,UNIVERSIDAD EAN,2812
11559,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Convenio,Atlántico,Barranquilla,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
11559,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Convenio,Atlántico,Barranquilla,UNIVERSIDAD DEL ATLANTICO,1202
11559,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Principal,Atlántico,Barranquilla,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
11844,ESPECIALIZACION EN ECONOMIA,Convenio,Antioquia,Medellín,UNIVERSIDAD EAFIT-,1712
11844,ESPECIALIZACION EN ECONOMIA,Convenio,Antioquia,Medellín,UNIVERSIDAD DE LOS ANDES,1813
11844,ESPECIALIZACION EN ECONOMIA,Principal,Antioquia,Medellín,UNIVERSIDAD DE LOS ANDES,1813
11950,PSICOLOGIA,Convenio,Santander,San Gil,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,2724
11950,PSICOLOGIA,Convenio,Santander,San Gil,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
11950,PSICOLOGIA,Principal,Santander,San Gil,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,Nariño,Pasto,UNIVERSIDAD MARIANA,1720
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,Nariño,Pasto,UNIVERSIDAD CES,2708
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,Quindío,Armenia,UNIVERSIDAD CES,2708
12037,MAESTRIA EN EPIDEMIOLOGIA,Convenio,Quindío,Armenia,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,2840
12037,MAESTRIA EN EPIDEMIOLOGIA,Principal,Antioquia,Medellín,UNIVERSIDAD CES,2708
12186,ESPECIALIZACION EN NEGOCIOS Y FINANZAS INTERNACIONALES,Convenio,Quindío,Armenia,UNIVERSIDAD EAN,2812
12186,ESPECIALIZACION EN NEGOCIOS Y FINANZAS INTERNACIONALES,Convenio,Quindío,Armenia,UNIVERSIDAD DEL QUINDIO,1208
12186,ESPECIALIZACION EN NEGOCIOS Y FINANZAS INTERNACIONALES,Principal,Quindío,Armenia,UNIVERSIDAD EAN,2812
12213,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Convenio,Santander,San Gil,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,2724
12213,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Convenio,Santander,San Gil,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
12213,ESPECIALIZACION EN DERECHO PROCESAL CIVIL,Principal,Santander,San Gil,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
15314,ESPECIALIZACION EN DERECHO COMERCIAL,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
15314,ESPECIALIZACION EN DERECHO COMERCIAL,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
15314,ESPECIALIZACION EN DERECHO COMERCIAL,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
15316,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
15316,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
15316,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
15604,ESPECIALIZACION EN GESTION HUMANA,Convenio,Bolívar,Cartagena de Indias,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,9105
15604,ESPECIALIZACION EN GESTION HUMANA,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD EAN,2812
15604,ESPECIALIZACION EN GESTION HUMANA,Principal,Bolívar,Cartagena de Indias,UNIVERSIDAD EAN,2812
15986,ESPECIALIZACION EN ADMINISTRACION FINANCIERA,Convenio,Huila,Neiva,UNIVERSIDAD SURCOLOMBIANA,1114
15986,ESPECIALIZACION EN ADMINISTRACION FINANCIERA,Convenio,Huila,Neiva,UNIVERSIDAD EAN,2812
15986,ESPECIALIZACION EN ADMINISTRACION FINANCIERA,Principal,Huila,Neiva,UNIVERSIDAD EAN,2812
16052,ESPECIALIZACION EN FINANZAS,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
16052,ESPECIALIZACION EN FINANZAS,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD EAFIT-,1712
16052,ESPECIALIZACION EN FINANZAS,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD EAFIT-,1712
17674,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
17674,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD MILITAR-NUEVA GRANADA,1117
17674,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD MILITAR-NUEVA GRANADA,1117
17744,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,Nariño,Pasto,UNIVERSIDAD CES,2708
17744,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,Nariño,Pasto,UNIVERSIDAD MARIANA,1720
17744,ESPECIALIZACION EN AUDITORIA EN SALUD,Principal,Nariño,Pasto,UNIVERSIDAD CES,2708
17839,ESPECIALIZACION EN CONTRATACION ESTATAL,Convenio,Santander,Bucaramanga,UNIVERSIDAD INDUSTRIAL DE SANTANDER,1204
17839,ESPECIALIZACION EN CONTRATACION ESTATAL,Convenio,Santander,Bucaramanga,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
17839,ESPECIALIZACION EN CONTRATACION ESTATAL,Principal,Santander,Bucaramanga,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
19935,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Convenio,Valle del Cauca,Palmira,UNIVERSIDAD MILITAR-NUEVA GRANADA,1117
19935,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Convenio,Valle del Cauca,Palmira,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1730
19935,ESPECIALIZACION EN ADMINISTRACION DE LA SEGURIDAD,Principal,Antioquia,Medellín,UNIVERSIDAD MILITAR-NUEVA GRANADA,1117
20124,ESPECIALIZACION EN TELEMATICA,Convenio,Cauca,Popayán,UNIVERSIDAD DEL CAUCA,1110
20124,ESPECIALIZACION EN TELEMATICA,Convenio,Cauca,Popayán,UNIVERSIDAD AUTONOMA DE OCCIDENTE,1830
20124,ESPECIALIZACION EN TELEMATICA,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD AUTONOMA DE OCCIDENTE,1830
20448,BIOLOGIA,Convenio,Antioquia,Medellín,UNIVERSIDAD CES,2708
20448,BIOLOGIA,Convenio,Antioquia,Medellín,UNIVERSIDAD EIA,2813
20448,BIOLOGIA,Principal,Antioquia,Medellín,UNIVERSIDAD CES,2708
20652,DERECHO,Convenio,Quindío,Armenia,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
20652,DERECHO,Convenio,Quindío,Armenia,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,2840
20652,DERECHO,Principal,Quindío,Armenia,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
21463,MEDICINA VETERINARIA Y ZOOTECNIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,1835
21463,MEDICINA VETERINARIA Y ZOOTECNIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",CENTRO DE EDUCACION MILITAR - CEMIL,2905
21463,MEDICINA VETERINARIA Y ZOOTECNIA,Principal,Bolívar,Cartagena de Indias,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,1835
21533,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Convenio,Santander,Bucaramanga,UNIVERSIDAD INDUSTRIAL DE SANTANDER,1204
21533,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Convenio,Santander,Bucaramanga,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
21533,ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Principal,Santander,Bucaramanga,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
51599,ESPECIALIZACIÓN EN CONTROL ORGANIZACIONAL,Convenio,Caldas,Manizales,UNIVERSIDAD EAFIT-,1712
51599,ESPECIALIZACIÓN EN CONTROL ORGANIZACIONAL,Convenio,Caldas,Manizales,UNIVERSIDAD AUTONOMA DE MANIZALES,1825
51599,ESPECIALIZACIÓN EN CONTROL ORGANIZACIONAL,Principal,Caldas,Manizales,UNIVERSIDAD EAFIT-,1712
51600,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,Convenio,Caldas,Manizales,UNIVERSIDAD EAFIT-,1712
51600,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,Convenio,Caldas,Manizales,UNIVERSIDAD AUTONOMA DE MANIZALES,1825
51600,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,Principal,Caldas,Manizales,UNIVERSIDAD EAFIT-,1712
51606,PSICOLOGÍA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD DE SAN BUENAVENTURA,1717
51606,PSICOLOGÍA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",FUNDACION UNIVERSITARIA SAN MARTIN,2709
51606,PSICOLOGÍA,Principal,Quindío,Armenia,UNIVERSIDAD DE SAN BUENAVENTURA,1717
51607,PSICOLOGÍA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD DE SAN BUENAVENTURA,1717
51607,PSICOLOGÍA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",FUNDACION UNIVERSITARIA SAN MARTIN,2709
51607,PSICOLOGÍA,Principal,Tolima,Ibagué,UNIVERSIDAD DE SAN BUENAVENTURA,1717
51803,ESPECIALIZACION EN DERECHO DEL MEDIO AMBIENTE,Convenio,Santander,Bucaramanga,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
51803,ESPECIALIZACION EN DERECHO DEL MEDIO AMBIENTE,Convenio,Santander,Bucaramanga,UNIVERSIDAD INDUSTRIAL DE SANTANDER,1204
